ExtensionSimpleMultimedia:identifier,ExtensionSimpleMultimedia:rightsHolder,ExtensionSimpleMultimedia:license,occurrenceID,type,identifier,rightsHolder,publisher,license,datasetID
"<a href=""https://resolver.libis.be/FL17305955/stream"" target=""_url_details"">https://resolver.libis.be/FL17305955/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000014,StillImage,"<a href=""https://resolver.libis.be/FL17305955/stream"" target=""_url_details"">https://resolver.libis.be/FL17305955/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305956/stream"" target=""_url_details"">https://resolver.libis.be/FL17305956/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000014,StillImage," <a href=""https://resolver.libis.be/FL17305956/stream"" target=""_url_details"">https://resolver.libis.be/FL17305956/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17305967/stream"" target=""_url_details"">https://resolver.libis.be/FL17305967/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000015,StillImage,"<a href=""https://resolver.libis.be/FL17305967/stream"" target=""_url_details"">https://resolver.libis.be/FL17305967/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305968/stream"" target=""_url_details"">https://resolver.libis.be/FL17305968/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000015,StillImage," <a href=""https://resolver.libis.be/FL17305968/stream"" target=""_url_details"">https://resolver.libis.be/FL17305968/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17305996/stream"" target=""_url_details"">https://resolver.libis.be/FL17305996/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000016,StillImage,"<a href=""https://resolver.libis.be/FL17305996/stream"" target=""_url_details"">https://resolver.libis.be/FL17305996/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305997/stream"" target=""_url_details"">https://resolver.libis.be/FL17305997/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000016,StillImage," <a href=""https://resolver.libis.be/FL17305997/stream"" target=""_url_details"">https://resolver.libis.be/FL17305997/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305998/stream"" target=""_url_details"">https://resolver.libis.be/FL17305998/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000016,StillImage," <a href=""https://resolver.libis.be/FL17305998/stream"" target=""_url_details"">https://resolver.libis.be/FL17305998/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17305986/stream"" target=""_url_details"">https://resolver.libis.be/FL17305986/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000017,StillImage,"<a href=""https://resolver.libis.be/FL17305986/stream"" target=""_url_details"">https://resolver.libis.be/FL17305986/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305987/stream"" target=""_url_details"">https://resolver.libis.be/FL17305987/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000017,StillImage," <a href=""https://resolver.libis.be/FL17305987/stream"" target=""_url_details"">https://resolver.libis.be/FL17305987/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17305988/stream"" target=""_url_details"">https://resolver.libis.be/FL17305988/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000017,StillImage," <a href=""https://resolver.libis.be/FL17305988/stream"" target=""_url_details"">https://resolver.libis.be/FL17305988/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
