dwc:catalogNumber,dwc:ownerInstitutionCode,dwc:collectionCode,dwc:otherCatalogNumbers,dwc:individualCount,dcw:verbatimLabel,dwc:preparations,ABCD:KindOfUnit,dwc:sex,dwc:lifeStage,dwc:scientificName,dwc:taxonRank,dwc:typeStatus,dwc:vernacularName,dwc:previousIdentifications,dwc:eventDate_from,dwc:eventDate_to,dwc:recordedBy_collector,dwc:continent,dwc:countryCode,dwc:country,dwc:locality,dwc:decimalLongitude,dwc:decimalLatitude,dwc:coordinateUncertaintyInMeters,Spectrum:acquisitionMethod,Spectrum:acquisitionSource,Spectrum:acquisitionDate,dwc_ExtensionSimpleMultimedia:identifier,dwc_ExtensionSimpleMultimedia:rightsHolder,dwc_ExtensionSimpleMultimedia:license
MUD000615,KU Leuven,Museum of Zoology,1079245906,1,"1079<br/>Witbandkruisbek<br/>loxia leucoptera<br/>ad ♂<br/>245906","mounted: mounted skin",complete specimen,male,adult,"Loxia leucoptera J. F. Gmelin, 1789",species,not applicable,"White-winged Crossbill",,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220136/stream"" target=""_url_details"">https://resolver.libis.be/FL17220136/stream</a>; <a href=""https://resolver.libis.be/FL17220137/stream"" target=""_url_details"">https://resolver.libis.be/FL17220137/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000616,KU Leuven,Museum of Zoology,308,1,"308<br/>Sijs<br/>carduelis spinus<br/>ad<br/>♀<br/>Rijkevorsel","mounted: mounted skin",complete specimen,female,adult,"Spinus spinus (Linnaeus, 1758)",species,not applicable,Eurasian Siskin,Carduelis spinus,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Rijkevorsel",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220148/stream"" target=""_url_details"">https://resolver.libis.be/FL17220148/stream</a>; <a href=""https://resolver.libis.be/FL17220149/stream"" target=""_url_details"">https://resolver.libis.be/FL17220149/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000617,KU Leuven,Museum of Zoology,938,1,"938<br/>Sijs<br/>Carduelis spinus<br/>ad<br/>♂ - links","mounted: mounted skin",complete specimen,male,adult,"Spinus spinus (Linnaeus, 1758)",species,not applicable,Eurasian Siskin,Carduelis spinus,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220162/stream"" target=""_url_details"">https://resolver.libis.be/FL17220162/stream</a>; <a href=""https://resolver.libis.be/FL17220192/stream"" target=""_url_details"">https://resolver.libis.be/FL17220192/stream</a>; <a href=""https://resolver.libis.be/FL17220163/stream"" target=""_url_details"">https://resolver.libis.be/FL17220163/stream</a>; <a href=""https://resolver.libis.be/FL17220193/stream"" target=""_url_details"">https://resolver.libis.be/FL17220193/stream</a>; <a href=""https://resolver.libis.be/FL17220164/stream"" target=""_url_details"">https://resolver.libis.be/FL17220164/stream</a>; <a href=""https://resolver.libis.be/FL17220194/stream"" target=""_url_details"">https://resolver.libis.be/FL17220194/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000618,KU Leuven,Museum of Zoology,965,1,"965<br/>Kruisbek<br/>loxia curvirostra<br/>ad ♂<br/>Lille kornæb<br/>Loxia curvirostra<br/>Konservator THORKIL DUCH, Sct. Laurentiivej 14 - Skagen - (08) 44 37 25","mounted: mounted skin",complete specimen,male,adult,"Loxia curvirostra Linnaeus, 1758",species,not applicable,Red Crossbill,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220177/stream"" target=""_url_details"">https://resolver.libis.be/FL17220177/stream</a>; <a href=""https://resolver.libis.be/FL17220178/stream"" target=""_url_details"">https://resolver.libis.be/FL17220178/stream</a>; <a href=""https://resolver.libis.be/FL17220179/stream"" target=""_url_details"">https://resolver.libis.be/FL17220179/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000619,KU Leuven,Museum of Zoology,939,1,"939<br/>Sijs<br/>Carduelis spinus<br/>ad<br/>♀ - rechts<br/>Grønsisken<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14 - 9990 Skagen - Tlf. (08) 44 37 25<br/>Siskin<br/>2045-2046<br/>5326-5327","mounted: mounted skin",complete specimen,female,adult,"Spinus spinus (Linnaeus, 1758)",species,not applicable,Eurasian Siskin,Carduelis spinus,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220162/stream"" target=""_url_details"">https://resolver.libis.be/FL17220162/stream</a>; <a href=""https://resolver.libis.be/FL17220192/stream"" target=""_url_details"">https://resolver.libis.be/FL17220192/stream</a>; <a href=""https://resolver.libis.be/FL17220163/stream"" target=""_url_details"">https://resolver.libis.be/FL17220163/stream</a>; <a href=""https://resolver.libis.be/FL17220193/stream"" target=""_url_details"">https://resolver.libis.be/FL17220193/stream</a>; <a href=""https://resolver.libis.be/FL17220164/stream"" target=""_url_details"">https://resolver.libis.be/FL17220164/stream</a>; <a href=""https://resolver.libis.be/FL17220194/stream"" target=""_url_details"">https://resolver.libis.be/FL17220194/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000620,KU Leuven,Museum of Zoology,514,1,"514<br/>Barmsijs<br/>noordeuropese vorm<br/>carduelis flammea flammea<br/>ad<br/>♀<br/>winter<br/>Rijkevorsel","mounted: mounted skin",complete specimen,female,adult,"Acanthis flammea (Linnaeus, 1758)",species,not applicable,Common Redpoll,Carduelis flammea flammea,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Rijkevorsel",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220229/stream"" target=""_url_details"">https://resolver.libis.be/FL17220229/stream</a>; <a href=""https://resolver.libis.be/FL17220230/stream"" target=""_url_details"">https://resolver.libis.be/FL17220230/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000621,KU Leuven,Museum of Zoology,262,1,"262<br/>Kruisbek<br/>loxia curvirostra<br/>♂ jong<br/>vogel niet zo jong<br/>KRUISBEK<br/>MAN","mounted: mounted skin",complete specimen,male,juvenile,"Loxia curvirostra Linnaeus, 1758",species,not applicable,Red Crossbill,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220217/stream"" target=""_url_details"">https://resolver.libis.be/FL17220217/stream</a>; <a href=""https://resolver.libis.be/FL17220218/stream"" target=""_url_details"">https://resolver.libis.be/FL17220218/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000622,KU Leuven,Museum of Zoology,515,1,"515<br/>Brarmsijs<br/>carduelis flammea flammea<br/>noordeuropese vorm<br/>ad<br/>♀<br/>winter<br/>Rijkevorsel","mounted: mounted skin",complete specimen,female,adult,"Acanthis flammea (Linnaeus, 1758)",species,not applicable,Common Redpoll,Carduelis flammea flammea,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Rijkevorsel",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220229/stream"" target=""_url_details"">https://resolver.libis.be/FL17220229/stream</a>; <a href=""https://resolver.libis.be/FL17220230/stream"" target=""_url_details"">https://resolver.libis.be/FL17220230/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000623,KU Leuven,Museum of Zoology,1240,1,"1240<br/>Kruisbek<br/>loxia curvirostra<br/>ad ♀<br/>herfst","mounted: mounted skin",complete specimen,female,adult,"Loxia curvirostra Linnaeus, 1758",species,not applicable,Red Crossbill,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220241/stream"" target=""_url_details"">https://resolver.libis.be/FL17220241/stream</a>; <a href=""https://resolver.libis.be/FL17220242/stream"" target=""_url_details"">https://resolver.libis.be/FL17220242/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000624,KU Leuven,Museum of Zoology,1061,1,"1061<br/>Kruisbek<br/>loxia curvirostra<br/>ad ♂<br/>herfst","mounted: mounted skin",complete specimen,male,adult,"Loxia curvirostra Linnaeus, 1758",species,not applicable,Red Crossbill,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220253/stream"" target=""_url_details"">https://resolver.libis.be/FL17220253/stream</a>; <a href=""https://resolver.libis.be/FL17220254/stream"" target=""_url_details"">https://resolver.libis.be/FL17220254/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000625,KU Leuven,Museum of Zoology,412,1,"412<br/>Grote Kruisbil<br/>loxia pityopsittacus<br/>ad ♂<br/>Duitsland<br/>grote Kruisbek<br/>ad ♂","mounted: mounted skin",complete specimen,male,adult,"Loxia pytyopsittacus von Borkhausen, 1793",species,not applicable,Parrot Crossbill,,,,,Europe,DE,Germany,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220265/stream"" target=""_url_details"">https://resolver.libis.be/FL17220265/stream</a>; <a href=""https://resolver.libis.be/FL17220266/stream"" target=""_url_details"">https://resolver.libis.be/FL17220266/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000626,KU Leuven,Museum of Zoology,766,1,"766<br/>Barmsijs<br/>arctische vorm<br/>carduelis hornemanni exilipes<br/>noord europa<br/>ad<br/>♂<br/>Polarbirkenzeisig<br/>A. SCHLÜTER KG., Naturw. Lehrmittelanstalt, Winnenden b. Stgt.<br/>Polarbirkenzeisig??","mounted: mounted skin",complete specimen,male,adult,"Acanthis hornemanni exilipes (Coues, 1862)",species,not applicable,Arctic Redpoll ssp. exilipes,,,,,Europe,,,Northern Europe,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220279/stream"" target=""_url_details"">https://resolver.libis.be/FL17220279/stream</a>; <a href=""https://resolver.libis.be/FL17220280/stream"" target=""_url_details"">https://resolver.libis.be/FL17220280/stream</a>; <a href=""https://resolver.libis.be/FL17220281/stream"" target=""_url_details"">https://resolver.libis.be/FL17220281/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000627,KU Leuven,Museum of Zoology,466,1,"466<br/>Grote Kruisbek<br/>loxia pityopsittacus<br/>ad ♀<br/>Duitsland<br/>grote kruisbek<br/>ad ♀","mounted: mounted skin",complete specimen,female,adult,"Loxia pytyopsittacus von Borkhausen, 1793",species,not applicable,Parrot Crossbill,,,,,unknown,DE,Germany,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220292/stream"" target=""_url_details"">https://resolver.libis.be/FL17220292/stream</a>; <a href=""https://resolver.libis.be/FL17220293/stream"" target=""_url_details"">https://resolver.libis.be/FL17220293/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000628,KU Leuven,Museum of Zoology,765,1,"765<br/>Barmsijs<br/>arctische vorm<br/>Acanthis hornemanni exilipes<br/>ad<br/>♀<br/>noord Noorwegen<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25<br/>Karasjok Norway<br/>18.9.1977","mounted: mounted skin",complete specimen,female,adult,"Acanthis hornemanni exilipes (Coues, 1862)",species,not applicable,Arctic Redpoll ssp. exilipes,,September 18 1977,,,Europe,NO,Norway,"Troms og Finnmark, Karasjok",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220306/stream"" target=""_url_details"">https://resolver.libis.be/FL17220306/stream</a>; <a href=""https://resolver.libis.be/FL17220307/stream"" target=""_url_details"">https://resolver.libis.be/FL17220307/stream</a>; <a href=""https://resolver.libis.be/FL17220308/stream"" target=""_url_details"">https://resolver.libis.be/FL17220308/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000629,KU Leuven,Museum of Zoology,789,1,"789<br/>Grote Kruisbek<br/>loxia pityopsittacus<br/>ad ♂<br/>winter<br/>Loxia pytyopsittacus<br/>Kristianssand Norway<br/>5.2.1977","mounted: mounted skin",complete specimen,male,adult,"Loxia pytyopsittacus von Borkhausen, 1793",species,not applicable,Parrot Crossbill,,February 5 1977,,,Europe,NO,Norway,"Agder, Kristiansand",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17220336/stream"" target=""_url_details"">https://resolver.libis.be/FL17220336/stream</a>; <a href=""https://resolver.libis.be/FL17220322/stream"" target=""_url_details"">https://resolver.libis.be/FL17220322/stream</a>; <a href=""https://resolver.libis.be/FL17220337/stream"" target=""_url_details"">https://resolver.libis.be/FL17220337/stream</a>; <a href=""https://resolver.libis.be/FL17220323/stream"" target=""_url_details"">https://resolver.libis.be/FL17220323/stream</a>; <a href=""https://resolver.libis.be/FL17220338/stream"" target=""_url_details"">https://resolver.libis.be/FL17220338/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
