dwc:catalogNumber,dwc:ownerInstitutionCode,dwc:collectionCode,dwc:otherCatalogNumbers,dwc:individualCount,dcw:verbatimLabel,dwc:preparations,ABCD:KindOfUnit,dwc:sex,dwc:lifeStage,dwc:scientificName,dwc:taxonRank,dwc:typeStatus,dwc:vernacularName,dwc:previousIdentifications,dwc:eventDate_from,dwc:eventDate_to,dwc:recordedBy_collector,dwc:continent,dwc:countryCode,dwc:country,dwc:locality,dwc:decimalLongitude,dwc:decimalLatitude,dwc:coordinateUncertaintyInMeters,Spectrum:acquisitionMethod,Spectrum:acquisitionSource,Spectrum:acquisitionDate,dwc_ExtensionSimpleMultimedia:identifier,dwc_ExtensionSimpleMultimedia:rightsHolder,dwc_ExtensionSimpleMultimedia:license
MUD000009,KU Leuven,Museum of Zoology,10,1,"Kleine Zwaan<br/>Cygnus bewichii<br/>Rijkevorsel<br/>Februari<br/>10<br/>Juv. 1e winter","mounted: mounted skin",complete specimen,,juvenile,"Cygnus columbianus bewickii Yarrell, 1830",species,not applicable,Tundra Swan ssp.  bewickii,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Rijkevorsel",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305889/stream"" target=""_url_details"">https://resolver.libis.be/FL17305889/stream</a>; <a href=""https://resolver.libis.be/FL17305890/stream"" target=""_url_details"">https://resolver.libis.be/FL17305890/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000010,KU Leuven,Museum of Zoology,149,1,"149<br/>Knobbelzwaan<br/>cygnus olor<br/>praktisch volwassen<br/>2e winter","mounted: mounted skin",complete specimen,,adult,"Cygnus olor (Gmelin, 1789)",species,not applicable,Mute Swan,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305903/stream"" target=""_url_details"">https://resolver.libis.be/FL17305903/stream</a>; <a href=""https://resolver.libis.be/FL17305904/stream"" target=""_url_details"">https://resolver.libis.be/FL17305904/stream</a>; <a href=""https://resolver.libis.be/FL17305905/stream"" target=""_url_details"">https://resolver.libis.be/FL17305905/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000011,KU Leuven,Museum of Zoology,776,1,"776<br/>Roodkeelduiker<br/>gavia stellata<br/>ad ♂<br/>prachtkleed<br/>Groenland<br/>East Greenland<br/>Scoresbysund<br/>5.6.1970<br/>4-3<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25","mounted: mounted skin",complete specimen,male,adult,"Gavia stellata (Pontoppidan, 1763)",species,not applicable,"Red-throated Loon",,June 5 1970,,,North America,GL,Greenland,"Sermersooq, Scoresby Sund",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305918/stream"" target=""_url_details"">https://resolver.libis.be/FL17305918/stream</a>; <a href=""https://resolver.libis.be/FL17305919/stream"" target=""_url_details"">https://resolver.libis.be/FL17305919/stream</a>; <a href=""https://resolver.libis.be/FL17305920/stream"" target=""_url_details"">https://resolver.libis.be/FL17305920/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000012,KU Leuven,Museum of Zoology,771,1,"Gavia immer<br/>Ijsduiker<br/>Prachtkleed kop + hals in rui<br/>Groenland<br/>ad<br/>771<br/>E. Hansen<br/>29-10-1977","mounted: mounted skin",complete specimen,,adult,"Gavia immer (Brunnich, 1764)",species,not applicable,Great Northern Loon,,October 29 1977,,,North America,GL,Greenland,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305931/stream"" target=""_url_details"">https://resolver.libis.be/FL17305931/stream</a>; <a href=""https://resolver.libis.be/FL17305932/stream"" target=""_url_details"">https://resolver.libis.be/FL17305932/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000013,KU Leuven,Museum of Zoology,1251,1,"1251<br/>Ijsland<br/>Roodkeelduiker<br/>Gavia stellata<br/>slachtoffer in visnetten<br/>ad","mounted: mounted skin",complete specimen,,adult,"Gavia stellata (Pontoppidan, 1763)",species,not applicable,"Red-throated Loon",,,,,Europe,IS,Iceland,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305943/stream"" target=""_url_details"">https://resolver.libis.be/FL17305943/stream</a>; <a href=""https://resolver.libis.be/FL17305944/stream"" target=""_url_details"">https://resolver.libis.be/FL17305944/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000014,KU Leuven,Museum of Zoology,100,1,"100<br/>Parelduiker<br/>Gavia arctica<br/>ad<br/>winterkleed<br/>Duitsland","mounted: mounted skin",complete specimen,,adult,"Gavia arctica (Linnaeus, 1758)",species,not applicable,"Black-throated Loon",,,,,Europe,DE,Germany,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305955/stream"" target=""_url_details"">https://resolver.libis.be/FL17305955/stream</a>; <a href=""https://resolver.libis.be/FL17305956/stream"" target=""_url_details"">https://resolver.libis.be/FL17305956/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000015,KU Leuven,Museum of Zoology,366,1,"366<br/>Parelduiker<br/>gavia arctica<br/>ad. <br/>winterkleed<br/>Duitsland<br/>Noord-Duitsland","mounted: mounted skin",complete specimen,,adult,"Gavia arctica (Linnaeus, 1758)",species,not applicable,"Black-throated Loon",,,,,Europe,DE,Germany,Northern Germany,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305967/stream"" target=""_url_details"">https://resolver.libis.be/FL17305967/stream</a>; <a href=""https://resolver.libis.be/FL17305968/stream"" target=""_url_details"">https://resolver.libis.be/FL17305968/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000016,KU Leuven,Museum of Zoology,936,1,"936<br/>Roodkeelduiker<br/>Gavia stellata<br/>ad<br/>winterkleed<br/>Rødstrubet lom<br/>370/<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25","mounted: mounted skin",complete specimen,,adult,"Gavia stellata (Pontoppidan, 1763)",species,not applicable,"Red-throated Loon",,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305996/stream"" target=""_url_details"">https://resolver.libis.be/FL17305996/stream</a>; <a href=""https://resolver.libis.be/FL17305997/stream"" target=""_url_details"">https://resolver.libis.be/FL17305997/stream</a>; <a href=""https://resolver.libis.be/FL17305998/stream"" target=""_url_details"">https://resolver.libis.be/FL17305998/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000017,KU Leuven,Museum of Zoology,772,1,"772<br/>Parelduiker<br/>gavia arctica<br/>ad ♀<br/>prachtkleed<br/>Noord-Noorwegen<br/>Hægebosta Agder North Norway<br/>28-05-1973<br/>Konservator Thorkil Duch, Sct. Laurentij Vej 14, 9990 Skagen, (08) 44 37 25<br/>1-2","mounted: mounted skin",complete specimen,female,adult,"Gavia arctica (Linnaeus, 1758)",species,not applicable,"Black-throated Loon",,May 28 1973,,,Europe,NO,Norway,"Agder, Hægebostad",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17305986/stream"" target=""_url_details"">https://resolver.libis.be/FL17305986/stream</a>; <a href=""https://resolver.libis.be/FL17305987/stream"" target=""_url_details"">https://resolver.libis.be/FL17305987/stream</a>; <a href=""https://resolver.libis.be/FL17305988/stream"" target=""_url_details"">https://resolver.libis.be/FL17305988/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000018,KU Leuven,Museum of Zoology,775,1,"775<br/>Geelsnavelduiker<br/>gavia adamsii<br/>ad<br/> ♂<br/>winterkleed<br/>Denemarken<br/>Grenen Skagen<br/>11.12.1975<br/>3-1<br/>Konservator Thorkil Duch, Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25","mounted: mounted skin",complete specimen,male,adult,"Gavia adamsii (G. R. Gray, 1859)",species,not applicable,"Yellow-billed Loon",,December 11 1975,,,Europe,DK,Denmark,"North Denmark, Frederikshavn Kommune, Skagen, Grenen",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306011/stream"" target=""_url_details"">https://resolver.libis.be/FL17306011/stream</a>; <a href=""https://resolver.libis.be/FL17306012/stream"" target=""_url_details"">https://resolver.libis.be/FL17306012/stream</a>; <a href=""https://resolver.libis.be/FL17306013/stream"" target=""_url_details"">https://resolver.libis.be/FL17306013/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000019,KU Leuven,Museum of Zoology,999,1,"999<br/>Ooievaar (witte)<br/>ciconia ciconia<br/>ad ♂<br/>juli<br/>Konservator J. Kofoed's eftf., Sct. Laurentii Vej 14, 9990 Skagen, (08) 44 37 25<br/>2099- [Ygy]<br/>Hvid stork<br/>Ciconia ciconia<br/>25-/","mounted: mounted skin",complete specimen,male,adult,"Ciconia ciconia (Linnaeus, 1758)",species,not applicable,White Stork,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306026/stream"" target=""_url_details"">https://resolver.libis.be/FL17306026/stream</a>; <a href=""https://resolver.libis.be/FL17306027/stream"" target=""_url_details"">https://resolver.libis.be/FL17306027/stream</a>; <a href=""https://resolver.libis.be/FL17306028/stream"" target=""_url_details"">https://resolver.libis.be/FL17306028/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000020,KU Leuven,Museum of Zoology,117,1,"117<br/>Ooievaar<br/>ciconea ciconea<br/>Westmalle","mounted: mounted skin",complete specimen,undetermined,,"Ciconia ciconia (Linnaeus, 1758)",species,not applicable,White Stork,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Antwerp, Malle, Westmalle",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306039/stream"" target=""_url_details"">https://resolver.libis.be/FL17306039/stream</a>; <a href=""https://resolver.libis.be/FL17306040/stream"" target=""_url_details"">https://resolver.libis.be/FL17306040/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000021,KU Leuven,Museum of Zoology,472,1,"472<br/>Zwarte Ooievaar<br/>ciconia nigra<br/>ad<br/>Duitsland","mounted: mounted skin",complete specimen,,adult,"Ciconia nigra (Linnaeus, 1758)",species,not applicable,Black Stork,,,,,Europe,DE,Germany,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306051/stream"" target=""_url_details"">https://resolver.libis.be/FL17306051/stream</a>; <a href=""https://resolver.libis.be/FL17306052/stream"" target=""_url_details"">https://resolver.libis.be/FL17306052/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000022,KU Leuven,Museum of Zoology,1000,1,"1000<br/>Zwarte ooievaar<br/>ciconia nigra<br/>ad ♂<br/>juni","mounted: mounted skin",complete specimen,male,adult,"Ciconia nigra (Linnaeus, 1758)",species,not applicable,Black Stork,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306063/stream"" target=""_url_details"">https://resolver.libis.be/FL17306063/stream</a>; <a href=""https://resolver.libis.be/FL17306064/stream"" target=""_url_details"">https://resolver.libis.be/FL17306064/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000023,KU Leuven,Museum of Zoology,663,1,"Vermoedelijk 2e jaar --> snavel geel, verlengde rugveren nog gering in aantal<br/>Silberreiher<br/>Casmerodius albus<br/>A. SCHLÜTER KG., Naturw. Lehrmittelanstalt, Winnenden b. Stgt.","mounted: mounted skin",complete specimen,undetermined,,"Ardea alba Linnaeus, 1758",species,not applicable,Great Egret,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306077/stream"" target=""_url_details"">https://resolver.libis.be/FL17306077/stream</a>; <a href=""https://resolver.libis.be/FL17306078/stream"" target=""_url_details"">https://resolver.libis.be/FL17306078/stream</a>; <a href=""https://resolver.libis.be/FL17306079/stream"" target=""_url_details"">https://resolver.libis.be/FL17306079/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000024,KU Leuven,Museum of Zoology,664,1,"664<br/>Ibis<br/>plegadis falcinellus<br/>ad<br/>prachtkleed","mounted: mounted skin",complete specimen,,adult,"Plegadis falcinellus (Linnaeus, 1766)",species,not applicable,Glossy Ibis,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306098/stream"" target=""_url_details"">https://resolver.libis.be/FL17306098/stream</a>; <a href=""https://resolver.libis.be/FL17306099/stream"" target=""_url_details"">https://resolver.libis.be/FL17306099/stream</a>; <a href=""https://resolver.libis.be/FL17306100/stream"" target=""_url_details"">https://resolver.libis.be/FL17306100/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000025,KU Leuven,Museum of Zoology,1081,1,"1081<br/>Zwarte Ooievaar<br/>Ciconia nigra<br/>juv ♂<br/>Beerse<br/>September","mounted: mounted skin",complete specimen,male,juvenile,"Ciconia nigra (Linnaeus, 1758)",species,not applicable,Black Stork,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Beerse",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306105/stream"" target=""_url_details"">https://resolver.libis.be/FL17306105/stream</a>; <a href=""https://resolver.libis.be/FL17306106/stream"" target=""_url_details"">https://resolver.libis.be/FL17306106/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000026,KU Leuven,Museum of Zoology,115,1,"115<br/>Blauwe Reiger<br/>ardea cinerea<br/>♂ ad<br/>winter","mounted: mounted skin",complete specimen,male,adult,"Ardea cinerea Linnaeus, 1758",species,not applicable,Grey Heron,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306117/stream"" target=""_url_details"">https://resolver.libis.be/FL17306117/stream</a>; <a href=""https://resolver.libis.be/FL17306118/stream"" target=""_url_details"">https://resolver.libis.be/FL17306118/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000027,KU Leuven,Museum of Zoology,121,1,"121<br/>Roerdomp<br/>botaurus stellarus<br/>houding -> bek omhoog<br/>wijfje ?!<br/>relatief klein exemplaar","mounted: mounted skin",complete specimen,,,"Botaurus stellaris (Linnaeus, 1758)",species,not applicable,Eurasian Bittern,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306129/stream"" target=""_url_details"">https://resolver.libis.be/FL17306129/stream</a>; <a href=""https://resolver.libis.be/FL17306130/stream"" target=""_url_details"">https://resolver.libis.be/FL17306130/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000028,KU Leuven,Museum of Zoology,615,1,"Wouwaapje<br/>Ixobrychus minutus<br/>Herfst<br/>Merksem<br/>615","mounted: mounted skin",complete specimen,,,"Ixobrychus minutus (Linnaeus, 1766)",species,not applicable,Little Bittern,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Antwerp, Antwerp, Merksem",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306141/stream"" target=""_url_details"">https://resolver.libis.be/FL17306141/stream</a>; <a href=""https://resolver.libis.be/FL17306142/stream"" target=""_url_details"">https://resolver.libis.be/FL17306142/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000029,KU Leuven,Museum of Zoology,122,1,"122<br/>Roerdomp","mounted: mounted skin",complete specimen,male,adult,"Botaurus stellaris (Linnaeus, 1758)",species,not applicable,Eurasian Bittern,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Arendonk",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306153/stream"" target=""_url_details"">https://resolver.libis.be/FL17306153/stream</a>; <a href=""https://resolver.libis.be/FL17306154/stream"" target=""_url_details"">https://resolver.libis.be/FL17306154/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000030,KU Leuven,Museum of Zoology,665,1,"Purperreiger<br/>665<br/>ardea purpurea<br/>ad<br/>prachtkleed<br/>man??","mounted: mounted skin",complete specimen,,adult,"Ardea purpurea Linnaeus, 1766",species,not applicable,Purple Heron,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306167/stream"" target=""_url_details"">https://resolver.libis.be/FL17306167/stream</a>; <a href=""https://resolver.libis.be/FL17306168/stream"" target=""_url_details"">https://resolver.libis.be/FL17306168/stream</a>; <a href=""https://resolver.libis.be/FL17306169/stream"" target=""_url_details"">https://resolver.libis.be/FL17306169/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000031,KU Leuven,Museum of Zoology,739,1,"Wouwaapje<br/>Ixobrychus minutus<br/>2 - jarige vogel<br/>739","mounted: mounted skin",complete specimen,,juvenile,"Ixobrychus minutus (Linnaeus, 1766)",species,not applicable,Little Bittern,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306180/stream"" target=""_url_details"">https://resolver.libis.be/FL17306180/stream</a>; <a href=""https://resolver.libis.be/FL17306181/stream"" target=""_url_details"">https://resolver.libis.be/FL17306181/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000032,KU Leuven,Museum of Zoology,503,1,"503<br/>Roerdomp<br/>botaurus stellaris<br/>juv ♀<br/>Rijkevorsel<br/>november<br/>Roerdomp<br/>jong ♀<br/>november<br/>Rijkevorsel<br/>van achter Somers","mounted: mounted skin",complete specimen,female,juvenile,"Botaurus stellaris (Linnaeus, 1758)",species,not applicable,Eurasian Bittern,,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Rijkevorsel",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306192/stream"" target=""_url_details"">https://resolver.libis.be/FL17306192/stream</a>; <a href=""https://resolver.libis.be/FL17306193/stream"" target=""_url_details"">https://resolver.libis.be/FL17306193/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000033,KU Leuven,Museum of Zoology,721,1,"721<br/>Roerdomp<br/>botaurus stellaris<br/>ad<br/>♂","mounted: mounted skin",complete specimen,male,adult,"Botaurus stellaris (Linnaeus, 1758)",species,not applicable,Eurasian Bittern,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17902098/stream"" target=""_url_details"">https://resolver.libis.be/FL17902098/stream</a>; <a href=""https://resolver.libis.be/FL17902099/stream"" target=""_url_details"">https://resolver.libis.be/FL17902099/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000034,KU Leuven,Museum of Zoology,604,1,"Wouwaapje<br/>Ixobrychus minutus <br/>ad ♂<br/>604","mounted: mounted skin",complete specimen,male,adult,"Ixobrychus minutus (Linnaeus, 1766)",species,not applicable,Little Bittern,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306208/stream"" target=""_url_details"">https://resolver.libis.be/FL17306208/stream</a>; <a href=""https://resolver.libis.be/FL17306209/stream"" target=""_url_details"">https://resolver.libis.be/FL17306209/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000035,KU Leuven,Museum of Zoology,993,1,"993<br/>Lepelaar<br/>platalea leucorodia<br/>juv<br/>♀<br/>juli","mounted: mounted skin",complete specimen,female,juvenile,"Platalea leucorodia Linnaeus, 1758",species,not applicable,Eurasian Spoonbill,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306234/stream"" target=""_url_details"">https://resolver.libis.be/FL17306234/stream</a>; <a href=""https://resolver.libis.be/FL17306235/stream"" target=""_url_details"">https://resolver.libis.be/FL17306235/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000036,KU Leuven,Museum of Zoology,126,1,"Wouwaapje<br/>Ixobrychus minutus<br/>Jonge vogel <br/>Overmere-Donk <br/>126","mounted: mounted skin",complete specimen,,juvenile,"Ixobrychus minutus (Linnaeus, 1766)",species,not applicable,Little Bittern,,,,,Europe,BE,Belgium,"Flanders, East Flanders Province, Arrondissement of Dendermonde, Berlare, Overmere-Donk",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306246/stream"" target=""_url_details"">https://resolver.libis.be/FL17306246/stream</a>; <a href=""https://resolver.libis.be/FL17306247/stream"" target=""_url_details"">https://resolver.libis.be/FL17306247/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000037,KU Leuven,Museum of Zoology,125,1,"125<br/>Kwak<br/>nycticorax nycticorax<br/>jonge vogel<br/>Duitsland<br/>Kwak = nachtreiger<br/>1e winter","mounted: mounted skin",complete specimen,,juvenile,"Nycticorax nycticorax (Linnaeus, 1758)",species,not applicable,"Black-crowned Night Heron",,,,,Europe,DE,Germany,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306258/stream"" target=""_url_details"">https://resolver.libis.be/FL17306258/stream</a>; <a href=""https://resolver.libis.be/FL17306259/stream"" target=""_url_details"">https://resolver.libis.be/FL17306259/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000038,KU Leuven,Museum of Zoology,362,1,"362<br/>Kwak<br/>nycticorax nycticorax<br/>ad<br/>prachtkleed<br/>Duitsland","mounted: mounted skin",complete Specimen,,adult,"Nycticorax nycticorax (Linnaeus, 1758)",species,not applicable,"Black-crowned Night Heron",,,,,Europe,DE,Germany,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306270/stream"" target=""_url_details"">https://resolver.libis.be/FL17306270/stream</a>; <a href=""https://resolver.libis.be/FL17306271/stream"" target=""_url_details"">https://resolver.libis.be/FL17306271/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000039,KU Leuven,Museum of Zoology,124,1,"124<br/>Ralreiger<br/>ardeola raloides<br/>prachtkleed<br/>Duitsland<br/>Ralreiger<br/>volwassen<br/>prachtkleed<br/>Duitsland","mounted: mounted skin",complete specimen,,adult,"Ardeola ralloides (Scopoli, 1769)",species,not applicable,Squacco Heron,,,,,Europe,DE,Germany,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306282/stream"" target=""_url_details"">https://resolver.libis.be/FL17306282/stream</a>; <a href=""https://resolver.libis.be/FL17306283/stream"" target=""_url_details"">https://resolver.libis.be/FL17306283/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000040,KU Leuven,Museum of Zoology,50,1,"Koereiger<br/>Ardeola ibis<br/>ad<br/>voorjaar<br/>50","mounted: mounted skin",complete specimen,,adult,"Bubulcus ibis (Linnaeus, 1758)",species,not applicable,Western Cattle Egret,Ardeola ibis,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306294/stream"" target=""_url_details"">https://resolver.libis.be/FL17306294/stream</a>; <a href=""https://resolver.libis.be/FL17306295/stream"" target=""_url_details"">https://resolver.libis.be/FL17306295/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000041,KU Leuven,Museum of Zoology,428,1,"428<br/>Kwak = nachtreiger<br/>nycticorax nycticorax<br/>juv<br/>oktober<br/>Beerse - kleiput K.V.S","mounted: mounted skin",complete specimen,,juvenile,"Nycticorax nycticorax (Linnaeus, 1758)",species,not applicable,"Black-crowned Night Heron",,,,,Europe,BE,Belgium,"Flanders, Antwerp Province, Arrondissement of Turnhout, Beerse, clay pit Kempische Verenigde Steenfabrieken (K.V.S.)",,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306306/stream"" target=""_url_details"">https://resolver.libis.be/FL17306306/stream</a>; <a href=""https://resolver.libis.be/FL17306307/stream"" target=""_url_details"">https://resolver.libis.be/FL17306307/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000042,KU Leuven,Museum of Zoology,696,1,"Koereiger<br/>Ardeola ibis<br/>ad<br/>prachtkleed<br/>Kuhreiger<br/>Bubulcus ibis<br/>A. SCHLÜTER KG., Naturw. Lehrmittelanstalt, Winnenden b. Stgt.<br/>696","mounted: mounted skin",complete specimen,,adult,"Bubulcus ibis (Linnaeus, 1758)",species,not applicable,Western Cattle Egret,Ardeola ibis,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17306320/stream"" target=""_url_details"">https://resolver.libis.be/FL17306320/stream</a>; <a href=""https://resolver.libis.be/FL17306321/stream"" target=""_url_details"">https://resolver.libis.be/FL17306321/stream</a>; <a href=""https://resolver.libis.be/FL17306322/stream"" target=""_url_details"">https://resolver.libis.be/FL17306322/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
MUD000043,KU Leuven,Museum of Zoology,485,1,"485<br/>Lepelaar<br/>platalea leucorodia<br/>juv.<br/>dierenpark<br/>Gestroven in dierenpark<br/>juveniel van lepelaar heeft zwarte vleugelpunten","mounted: mounted skin",complete specimen,,juvenile,"Platalea leucorodia Linnaeus, 1758",species,not applicable,Eurasian Spoonbill,,,,,unknown,,,,,,,donation,"Pas, Frans ",January 24 2020,"<a href=""https://resolver.libis.be/FL17902107/stream"" target=""_url_details"">https://resolver.libis.be/FL17902107/stream</a>; <a href=""https://resolver.libis.be/FL17902109/stream"" target=""_url_details"">https://resolver.libis.be/FL17902109/stream</a>",KU Leuven. Imaging Lab,"https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en"
